home_goals_scored_L5,home_goals_conceded_L5,home_goal_diff_L5,home_goals_scored_L10,home_goals_conceded_L10,home_goal_diff_L10,home_shots_L5,home_shots_on_target_L5,home_shots_L10,home_shots_on_target_L10,home_corners_L5,home_corners_L10,home_fouls_L5,home_yellow_cards_L5,home_fouls_L10,home_yellow_cards_L10,away_goals_scored_L5,away_goals_conceded_L5,away_goal_diff_L5,away_goals_scored_L10,away_goals_conceded_L10,away_goal_diff_L10,away_shots_L5,away_shots_on_target_L5,away_shots_L10,away_shots_on_target_L10,away_corners_L5,away_corners_L10,away_fouls_L5,away_yellow_cards_L5,away_fouls_L10,away_yellow_cards_L10,home_win_streak,away_win_streak,home_form_L5,away_form_L5,h2h_home_wins,h2h_away_wins,goal_diff_interaction,form_interaction,shots_efficiency_home,shots_efficiency_away,FTR
2.2,1.4,0.8000000000000003,1.7,1.2,0.5,9.0,5.8,9.5,5.5,5.4,4.9,12.2,1.8,13.2,1.5,0.8,2.0,-1.2,1.0,1.3,-0.30000000000000004,8.0,5.0,7.9,5.0,4.4,4.0,14.4,2.0,15.4,2.2,4.0,1.0,13.0,12.0,0.0,0.0,-0.9600000000000003,156.0,0.58,0.5555555555555556,H
2.2,1.2,1.0000000000000002,1.6666666666666667,1.1111111111111112,0.5555555555555556,12.2,5.4,13.88888888888889,7.111111111111111,5.0,6.444444444444445,12.6,1.0,14.777777777777779,1.3333333333333333,1.4,1.2,0.19999999999999996,1.4,1.6,-0.20000000000000018,7.0,3.6,8.0,3.7,2.6,4.4,16.0,3.4,15.9,2.8,4.0,2.0,12.0,7.0,0.0,0.0,0.2,84.0,0.4090909090909091,0.45,D
1.0,0.8,0.19999999999999996,1.1,1.2,-0.09999999999999987,11.2,6.2,11.1,5.3,5.8,5.9,15.0,1.2,14.5,1.3,1.4,1.6,-0.20000000000000018,1.2,1.5,-0.30000000000000004,9.0,3.2,7.9,3.1,7.2,6.0,9.6,1.8,11.6,1.6,2.0,2.0,7.0,7.0,1.0,0.0,-0.04000000000000003,49.0,0.5081967213114754,0.32,A
2.0,0.6,1.4,2.0,0.4,1.6,9.2,6.6,11.2,7.8,5.4,6.0,12.4,1.2,14.3,1.6,0.6,1.6,-1.0,1.1111111111111112,1.4444444444444444,-0.33333333333333326,12.0,5.8,11.444444444444445,5.333333333333333,3.6,4.0,14.0,1.4,13.444444444444445,1.2222222222222223,3.0,0.0,10.0,13.0,1.0,0.0,-1.4,130.0,0.6470588235294118,0.4461538461538461,H
1.4,1.8,-0.40000000000000013,1.1,1.6,-0.5,12.8,6.0,12.6,5.5,5.0,4.2,15.0,1.2,14.1,1.2,0.4,1.8,-1.4,0.6,1.5,-0.9,8.2,3.8,6.4,3.6,4.2,4.5,13.0,1.0,15.0,1.4,2.0,1.0,6.0,12.0,0.0,1.0,0.5600000000000002,72.0,0.43478260869565216,0.41304347826086957,H
0.2,1.4,-1.2,0.6,1.8,-1.2000000000000002,8.8,5.2,10.2,5.8,4.8,5.0,10.8,0.8,11.8,0.9,1.6,0.4,1.2000000000000002,1.8,0.4,1.4,14.4,7.8,15.2,8.3,4.8,5.5,12.4,2.6,12.2,2.2,0.0,4.0,1.0,3.0,1.0,0.0,-1.4400000000000002,3.0,0.5306122448979592,0.5064935064935064,A
2.0,2.2,-0.20000000000000018,1.6,1.3,0.30000000000000004,11.8,5.8,12.1,5.9,4.8,4.4,11.0,0.8,11.4,1.0,0.4,1.6,-1.2000000000000002,0.3,1.7,-1.4,6.4,3.4,6.6,3.0,4.2,3.9,10.0,0.4,11.2,1.1,2.0,0.0,6.0,13.0,0.0,1.0,0.24000000000000024,78.0,0.45312499999999994,0.45945945945945943,A
1.2,1.0,0.19999999999999996,0.9,1.4,-0.4999999999999999,12.4,6.0,11.5,5.4,6.6,7.1,11.4,0.4,11.4,0.9,0.4,3.0,-2.6,0.9,2.0,-1.1,7.4,4.4,7.6,4.5,4.0,3.7,13.6,1.4,12.4,1.6,2.0,0.0,7.0,15.0,0.0,0.0,-0.5199999999999999,105.0,0.44776119402985076,0.5238095238095238,H
1.6,0.6,1.0,1.2222222222222223,0.4444444444444444,0.7777777777777779,12.6,8.6,12.88888888888889,7.0,6.8,6.333333333333333,14.8,1.4,13.666666666666666,1.1111111111111112,1.8,2.0,-0.19999999999999996,1.4,1.5,-0.10000000000000009,11.6,6.0,9.9,5.4,5.6,4.9,12.8,2.2,13.5,2.5,3.0,1.0,11.0,10.0,0.0,1.0,-0.19999999999999996,110.0,0.6323529411764706,0.4761904761904762,H
1.2,2.0,-0.8,0.8,1.5,-0.7,12.4,6.8,11.3,6.4,7.2,7.8,15.6,1.8,15.5,2.0,0.8,1.0,-0.19999999999999996,0.7,1.1,-0.40000000000000013,11.0,5.6,10.9,5.8,4.0,4.4,13.2,1.8,13.3,2.0,2.0,2.0,6.0,7.0,1.0,0.0,0.15999999999999998,42.0,0.5074626865671642,0.4666666666666666,H
