HomeTeamId,AwayTeamId,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,homeTeamID,awayTeamID
19.0,20.0,5762,08/11/2023,Burnley,Man City,0.0,3.0,A,0.0,2.0,A,C Pawson,6.0,17.0,1.0,8.0,11.0,8.0,6.0,5.0,0.0,0.0,1.0,0.0,8.0,5.5,1.33,EPLS202324,19.0,20.0
12.0,23.0,5763,08/12/2023,Arsenal,Nott'm Forest,2.0,1.0,H,2.0,0.0,H,M Oliver,15.0,6.0,7.0,2.0,12.0,12.0,8.0,3.0,2.0,2.0,0.0,0.0,1.18,7.0,15.0,EPLS202324,12.0,23.0
21.0,4.0,5764,08/12/2023,Bournemouth,West Ham,1.0,1.0,D,0.0,0.0,D,P Bankes,14.0,16.0,5.0,3.0,9.0,14.0,10.0,4.0,1.0,4.0,0.0,0.0,2.7,3.4,2.55,EPLS202324,21.0,4.0
7.0,43.0,5765,08/12/2023,Brighton,Luton,4.0,1.0,H,1.0,0.0,H,D Coote,27.0,9.0,12.0,3.0,11.0,12.0,6.0,7.0,2.0,2.0,0.0,0.0,1.33,5.5,9.0,EPLS202324,7.0,43.0
9.0,1.0,5766,08/12/2023,Everton,Fulham,0.0,1.0,A,0.0,0.0,D,S Attwell,19.0,9.0,9.0,2.0,12.0,6.0,10.0,4.0,0.0,2.0,0.0,0.0,2.2,3.4,3.3,EPLS202324,9.0,1.0
8.0,2.0,5767,08/12/2023,Sheffield United,Crystal Palace,0.0,1.0,A,0.0,0.0,D,J Brooks,8.0,24.0,1.0,8.0,18.0,11.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,3.3,2.38,EPLS202324,8.0,2.0
14.0,17.0,5768,08/12/2023,Newcastle,Aston Villa,5.0,1.0,H,2.0,1.0,H,A Madley,17.0,16.0,13.0,6.0,12.0,17.0,6.0,5.0,4.0,4.0,0.0,0.0,1.75,3.75,4.6,EPLS202324,14.0,17.0
22.0,6.0,5769,13/08/2023,Brentford,Tottenham,2.0,2.0,D,2.0,2.0,D,R Jones,11.0,18.0,6.0,6.0,12.0,13.0,3.0,6.0,1.0,4.0,0.0,0.0,2.75,3.4,2.45,EPLS202324,22.0,6.0
15.0,3.0,5770,13/08/2023,Chelsea,Liverpool,1.0,1.0,D,1.0,1.0,D,A Taylor,10.0,13.0,4.0,1.0,5.0,12.0,4.0,4.0,3.0,3.0,0.0,0.0,2.9,3.4,2.38,EPLS202324,15.0,3.0
11.0,18.0,5771,14/08/2023,Man United,Wolves,1.0,0.0,H,0.0,0.0,D,S Hooper,15.0,23.0,3.0,6.0,14.0,10.0,8.0,7.0,2.0,3.0,0.0,0.0,1.33,5.5,9.0,EPLS202324,11.0,18.0
23.0,8.0,5772,18/08/2023,Nott'm Forest,Sheffield United,2.0,1.0,H,1.0,0.0,H,P Bankes,16.0,7.0,4.0,3.0,5.0,9.0,6.0,7.0,2.0,3.0,0.0,0.0,1.95,3.4,4.0,EPLS202324,23.0,8.0
1.0,22.0,5773,19/08/2023,Fulham,Brentford,0.0,3.0,A,0.0,1.0,A,D Bond,10.0,17.0,2.0,8.0,13.0,12.0,5.0,5.0,2.0,2.0,1.0,0.0,2.7,3.3,2.63,EPLS202324,1.0,22.0
3.0,21.0,5774,19/08/2023,Liverpool,Bournemouth,3.0,1.0,H,2.0,1.0,H,T Bramall,26.0,13.0,10.0,5.0,11.0,13.0,10.0,2.0,1.0,3.0,1.0,0.0,1.2,7.0,13.0,EPLS202324,3.0,21.0
18.0,7.0,5775,19/08/2023,Wolves,Brighton,1.0,4.0,A,0.0,1.0,A,A Madley,16.0,16.0,5.0,8.0,14.0,11.0,5.0,3.0,3.0,6.0,1.0,0.0,4.0,3.8,1.85,EPLS202324,18.0,7.0
6.0,11.0,5776,19/08/2023,Tottenham,Man United,2.0,0.0,H,0.0,0.0,D,M Oliver,17.0,22.0,6.0,6.0,9.0,8.0,5.0,6.0,1.0,3.0,0.0,0.0,2.8,3.6,2.38,EPLS202324,6.0,11.0
20.0,14.0,5777,19/08/2023,Man City,Newcastle,1.0,0.0,H,1.0,0.0,H,R Jones,14.0,7.0,4.0,1.0,12.0,11.0,3.0,0.0,1.0,5.0,0.0,0.0,1.67,4.0,5.0,EPLS202324,20.0,14.0
17.0,9.0,5778,20/08/2023,Aston Villa,Everton,4.0,0.0,H,2.0,0.0,H,A Taylor,13.0,9.0,7.0,2.0,8.0,12.0,7.0,6.0,3.0,4.0,0.0,0.0,1.7,4.0,4.5,EPLS202324,17.0,9.0
4.0,15.0,5779,20/08/2023,West Ham,Chelsea,3.0,1.0,H,1.0,1.0,D,J Brooks,12.0,17.0,6.0,4.0,12.0,9.0,3.0,9.0,2.0,3.0,1.0,0.0,3.75,3.5,2.0,EPLS202324,4.0,15.0
2.0,12.0,5780,21/08/2023,Crystal Palace,Arsenal,0.0,1.0,A,0.0,0.0,D,D Coote,14.0,14.0,2.0,3.0,14.0,10.0,1.0,8.0,2.0,1.0,0.0,1.0,5.5,4.0,1.6,EPLS202324,2.0,12.0
15.0,43.0,5781,25/08/2023,Chelsea,Luton,3.0,0.0,H,1.0,0.0,H,R Jones,19.0,11.0,8.0,1.0,15.0,12.0,6.0,4.0,2.0,3.0,0.0,0.0,1.29,5.5,11.0,EPLS202324,15.0,43.0
21.0,6.0,5782,26/08/2023,Bournemouth,Tottenham,0.0,2.0,A,0.0,1.0,A,T Robinson,11.0,17.0,3.0,6.0,18.0,11.0,6.0,2.0,1.0,3.0,0.0,0.0,3.8,3.75,1.91,EPLS202324,21.0,6.0
12.0,1.0,5783,26/08/2023,Arsenal,Fulham,2.0,2.0,D,0.0,1.0,A,P Tierney,19.0,8.0,11.0,3.0,6.0,5.0,8.0,3.0,0.0,3.0,0.0,1.0,1.2,7.0,13.0,EPLS202324,12.0,1.0
22.0,2.0,5784,26/08/2023,Brentford,Crystal Palace,1.0,1.0,D,1.0,0.0,H,P Bankes,12.0,15.0,1.0,5.0,9.0,15.0,8.0,6.0,0.0,0.0,0.0,0.0,2.15,3.4,3.5,EPLS202324,22.0,2.0
9.0,18.0,5785,26/08/2023,Everton,Wolves,0.0,1.0,A,0.0,0.0,D,C Pawson,15.0,11.0,7.0,2.0,10.0,14.0,7.0,0.0,3.0,4.0,0.0,0.0,2.3,3.3,3.2,EPLS202324,9.0,18.0
11.0,23.0,5786,26/08/2023,Man United,Nott'm Forest,3.0,2.0,H,1.0,2.0,A,S Attwell,18.0,9.0,9.0,4.0,13.0,11.0,11.0,3.0,4.0,4.0,0.0,1.0,1.3,6.0,8.0,EPLS202324,11.0,23.0
7.0,4.0,5787,26/08/2023,Brighton,West Ham,1.0,3.0,A,0.0,1.0,A,A Taylor,25.0,12.0,10.0,3.0,10.0,9.0,17.0,4.0,1.0,3.0,0.0,0.0,1.53,4.75,5.25,EPLS202324,7.0,4.0
19.0,17.0,5788,27/08/2023,Burnley,Aston Villa,1.0,3.0,A,0.0,2.0,A,M Salisbury,9.0,16.0,2.0,6.0,12.0,11.0,4.0,6.0,2.0,0.0,0.0,0.0,3.4,3.4,2.15,EPLS202324,19.0,17.0
8.0,20.0,5789,27/08/2023,Sheffield United,Man City,1.0,2.0,A,0.0,0.0,D,J Gillett,6.0,30.0,2.0,9.0,11.0,2.0,1.0,12.0,3.0,0.0,0.0,0.0,13.0,8.0,1.17,EPLS202324,8.0,20.0
14.0,3.0,5790,27/08/2023,Newcastle,Liverpool,1.0,2.0,A,1.0,0.0,H,J Brooks,23.0,9.0,8.0,4.0,16.0,10.0,5.0,9.0,1.0,2.0,0.0,1.0,2.2,3.75,3.0,EPLS202324,14.0,3.0
