HomeTeamId,AwayTeamId,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,homeTeamID,awayTeamID
19.0,30.0,4242,13/08/2016,Burnley,Swansea,0.0,1.0,A,0.0,0.0,D,J Moss,10.0,17.0,3.0,9.0,10.0,14.0,7.0,4.0,3.0,2.0,0.0,0.0,2.4,3.3,3.25,EPLS201617,19.0,30.0
2.0,5.0,4243,13/08/2016,Crystal Palace,West Brom,0.0,1.0,A,0.0,0.0,D,C Pawson,14.0,13.0,4.0,3.0,12.0,15.0,3.0,6.0,2.0,2.0,0.0,0.0,2.0,3.3,4.5,EPLS201617,2.0,5.0
9.0,6.0,4244,13/08/2016,Everton,Tottenham,1.0,1.0,D,1.0,0.0,H,M Atkinson,12.0,13.0,6.0,4.0,10.0,14.0,5.0,6.0,0.0,0.0,0.0,0.0,3.2,3.4,2.4,EPLS201617,9.0,6.0
34.0,16.0,4245,13/08/2016,Hull,Leicester,2.0,1.0,H,1.0,0.0,H,M Dean,14.0,18.0,5.0,5.0,8.0,17.0,5.0,3.0,2.0,2.0,0.0,0.0,4.5,3.6,1.91,EPLS201617,34.0,16.0
20.0,29.0,4246,13/08/2016,Man City,Sunderland,2.0,1.0,H,1.0,0.0,H,R Madley,16.0,7.0,4.0,3.0,11.0,14.0,9.0,6.0,1.0,2.0,0.0,0.0,1.25,6.5,15.0,EPLS201617,20.0,29.0
37.0,28.0,4247,13/08/2016,Middlesbrough,Stoke,1.0,1.0,D,1.0,0.0,H,K Friend,12.0,12.0,2.0,1.0,18.0,14.0,9.0,6.0,3.0,5.0,0.0,0.0,2.38,3.2,3.4,EPLS201617,37.0,28.0
13.0,33.0,4248,13/08/2016,Southampton,Watford,1.0,1.0,D,0.0,1.0,A,R East,24.0,5.0,6.0,1.0,8.0,12.0,6.0,2.0,1.0,2.0,0.0,1.0,1.8,3.75,5.0,EPLS201617,13.0,33.0
12.0,3.0,4249,14/08/2016,Arsenal,Liverpool,3.0,4.0,A,1.0,1.0,D,M Oliver,9.0,16.0,5.0,7.0,13.0,17.0,5.0,4.0,3.0,3.0,0.0,0.0,2.4,3.5,3.1,EPLS201617,12.0,3.0
21.0,11.0,4250,14/08/2016,Bournemouth,Man United,1.0,3.0,A,0.0,1.0,A,A Marriner,9.0,11.0,3.0,7.0,7.0,10.0,4.0,2.0,0.0,1.0,0.0,0.0,4.75,3.6,1.85,EPLS201617,21.0,11.0
15.0,4.0,4251,15/08/2016,Chelsea,West Ham,2.0,1.0,H,0.0,0.0,D,A Taylor,16.0,7.0,6.0,3.0,16.0,16.0,7.0,1.0,5.0,2.0,0.0,0.0,1.65,4.0,6.0,EPLS201617,15.0,4.0
11.0,13.0,4252,19/08/2016,Man United,Southampton,2.0,0.0,H,1.0,0.0,H,A Taylor,12.0,13.0,5.0,1.0,11.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.53,4.2,7.5,EPLS201617,11.0,13.0
19.0,3.0,4253,20/08/2016,Burnley,Liverpool,2.0,0.0,H,2.0,0.0,H,L Mason,3.0,26.0,2.0,5.0,14.0,5.0,1.0,12.0,0.0,1.0,0.0,0.0,6.5,4.2,1.57,EPLS201617,19.0,3.0
16.0,12.0,4254,20/08/2016,Leicester,Arsenal,0.0,0.0,D,0.0,0.0,D,M Clattenburg,8.0,13.0,1.0,4.0,11.0,7.0,2.0,7.0,1.0,2.0,0.0,0.0,2.88,3.6,2.5,EPLS201617,16.0,12.0
28.0,20.0,4255,20/08/2016,Stoke,Man City,1.0,4.0,A,0.0,2.0,A,M Dean,8.0,12.0,3.0,6.0,12.0,13.0,7.0,7.0,3.0,4.0,0.0,0.0,5.5,3.8,1.73,EPLS201617,28.0,20.0
30.0,34.0,4256,20/08/2016,Swansea,Hull,0.0,2.0,A,0.0,0.0,D,S Attwell,13.0,12.0,3.0,4.0,7.0,10.0,8.0,3.0,0.0,0.0,0.0,0.0,1.8,3.6,5.25,EPLS201617,30.0,34.0
6.0,2.0,4257,20/08/2016,Tottenham,Crystal Palace,1.0,0.0,H,0.0,0.0,D,M Oliver,20.0,10.0,5.0,2.0,19.0,9.0,10.0,4.0,3.0,3.0,0.0,0.0,1.45,4.75,8.0,EPLS201617,6.0,2.0
