HomeTeamId,AwayTeamId,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,homeTeamID,awayTeamID
12.0,17.0,1901,17/08/2013,Arsenal,Aston Villa,1.0,3.0,A,1.0,1.0,D,A Taylor,16.0,9.0,4.0,4.0,15.0,18.0,4.0,3.0,4.0,5.0,1.0,0.0,1.44,4.75,8.0,EPLS201314,12.0,17.0
3.0,28.0,1902,17/08/2013,Liverpool,Stoke,1.0,0.0,H,1.0,0.0,H,M Atkinson,26.0,10.0,11.0,4.0,11.0,11.0,12.0,6.0,1.0,1.0,0.0,0.0,1.4,5.0,9.5,EPLS201314,3.0,28.0
32.0,9.0,1903,17/08/2013,Norwich,Everton,2.0,2.0,D,0.0,0.0,D,M Oliver,8.0,19.0,2.0,6.0,13.0,10.0,6.0,8.0,2.0,0.0,0.0,0.0,3.2,3.4,2.4,EPLS201314,32.0,9.0
29.0,1.0,1904,17/08/2013,Sunderland,Fulham,0.0,1.0,A,0.0,0.0,D,N Swarbrick,20.0,5.0,3.0,1.0,14.0,14.0,6.0,1.0,0.0,3.0,0.0,0.0,2.3,3.4,3.4,EPLS201314,29.0,1.0
30.0,11.0,1905,17/08/2013,Swansea,Man United,1.0,4.0,A,0.0,2.0,A,P Dowd,17.0,15.0,6.0,7.0,13.0,10.0,7.0,4.0,1.0,3.0,0.0,0.0,4.2,3.5,2.0,EPLS201314,30.0,11.0
5.0,13.0,1906,17/08/2013,West Brom,Southampton,0.0,1.0,A,0.0,0.0,D,K Friend,11.0,7.0,1.0,2.0,14.0,24.0,4.0,8.0,4.0,0.0,0.0,0.0,2.4,3.4,3.2,EPLS201314,5.0,13.0
4.0,35.0,1907,17/08/2013,West Ham,Cardiff,2.0,0.0,H,1.0,0.0,H,H Webb,18.0,12.0,4.0,1.0,10.0,7.0,4.0,3.0,0.0,1.0,0.0,0.0,2.0,3.6,4.0,EPLS201314,4.0,35.0
15.0,34.0,1908,18/08/2013,Chelsea,Hull,2.0,0.0,H,2.0,0.0,H,J Moss,22.0,7.0,5.0,2.0,7.0,16.0,5.0,1.0,0.0,1.0,0.0,0.0,1.2,7.0,21.0,EPLS201314,15.0,34.0
2.0,6.0,1909,18/08/2013,Crystal Palace,Tottenham,0.0,1.0,A,0.0,0.0,D,M Clattenburg,5.0,17.0,3.0,2.0,6.0,9.0,3.0,7.0,1.0,0.0,0.0,0.0,4.75,3.75,1.83,EPLS201314,2.0,6.0
20.0,14.0,1910,19/08/2013,Man City,Newcastle,4.0,0.0,H,2.0,0.0,H,A Marriner,20.0,5.0,11.0,1.0,9.0,7.0,8.0,1.0,2.0,3.0,0.0,1.0,1.33,5.5,11.0,EPLS201314,20.0,14.0
15.0,17.0,1911,21/08/2013,Chelsea,Aston Villa,2.0,1.0,H,1.0,1.0,D,K Friend,15.0,7.0,3.0,3.0,12.0,13.0,1.0,2.0,1.0,4.0,0.0,0.0,1.29,5.5,10.0,EPLS201314,15.0,17.0
17.0,3.0,1912,24/08/2013,Aston Villa,Liverpool,0.0,1.0,A,0.0,1.0,A,M Clattenburg,17.0,5.0,3.0,1.0,9.0,8.0,8.0,2.0,3.0,3.0,0.0,0.0,4.0,3.75,1.95,EPLS201314,17.0,3.0
9.0,5.0,1913,24/08/2013,Everton,West Brom,0.0,0.0,D,0.0,0.0,D,R East,22.0,7.0,8.0,2.0,14.0,15.0,11.0,1.0,1.0,1.0,0.0,0.0,1.57,4.33,6.5,EPLS201314,9.0,5.0
