HomeTeamId,AwayTeamId,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,homeTeamID,awayTeamID
17.0,27.0,3481,15/08/2009,Aston Villa,Wigan,0.0,2.0,A,0.0,1.0,A,M Clattenburg,11.0,14.0,5.0,7.0,15.0,14.0,4.0,6.0,2.0,2.0,0.0,0.0,1.67,3.6,5.5,EPLS200910,17.0,27.0
25.0,20.0,3482,15/08/2009,Blackburn,Man City,0.0,2.0,A,0.0,1.0,A,M Dean,17.0,8.0,9.0,5.0,12.0,9.0,5.0,4.0,2.0,1.0,0.0,0.0,3.6,3.25,2.1,EPLS200910,25.0,20.0
31.0,29.0,3483,15/08/2009,Bolton,Sunderland,0.0,1.0,A,0.0,1.0,A,A Marriner,11.0,20.0,3.0,13.0,16.0,10.0,4.0,7.0,2.0,1.0,0.0,0.0,2.25,3.25,3.25,EPLS200910,31.0,29.0
15.0,34.0,3484,15/08/2009,Chelsea,Hull,2.0,1.0,H,1.0,1.0,D,A Wiley,26.0,7.0,12.0,3.0,13.0,15.0,12.0,4.0,1.0,2.0,0.0,0.0,1.17,6.5,21.0,EPLS200910,15.0,34.0
9.0,12.0,3485,15/08/2009,Everton,Arsenal,1.0,6.0,A,0.0,3.0,A,M Halsey,8.0,15.0,5.0,9.0,11.0,13.0,4.0,9.0,0.0,0.0,0.0,0.0,3.2,3.25,2.3,EPLS200910,9.0,12.0
39.0,1.0,3486,15/08/2009,Portsmouth,Fulham,0.0,1.0,A,0.0,1.0,A,M Atkinson,16.0,9.0,4.0,3.0,11.0,18.0,6.0,4.0,3.0,2.0,0.0,0.0,2.63,3.2,2.75,EPLS200910,39.0,1.0
28.0,19.0,3487,15/08/2009,Stoke,Burnley,2.0,0.0,H,2.0,0.0,H,S Bennett,12.0,9.0,5.0,5.0,15.0,10.0,3.0,6.0,2.0,2.0,0.0,0.0,1.91,3.3,4.33,EPLS200910,28.0,19.0
18.0,4.0,3488,15/08/2009,Wolves,West Ham,0.0,2.0,A,0.0,1.0,A,C Foy,19.0,16.0,11.0,13.0,9.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0,2.63,3.3,2.7,EPLS200910,18.0,4.0
11.0,38.0,3489,16/08/2009,Man United,Birmingham,1.0,0.0,H,1.0,0.0,H,L Mason,26.0,6.0,17.0,4.0,13.0,7.0,13.0,2.0,1.0,1.0,0.0,0.0,1.2,6.0,17.0,EPLS200910,11.0,38.0
6.0,3.0,3490,16/08/2009,Tottenham,Liverpool,2.0,1.0,H,1.0,0.0,H,P Dowd,17.0,6.0,11.0,3.0,14.0,16.0,6.0,5.0,3.0,3.0,0.0,0.0,3.2,3.25,2.3,EPLS200910,6.0,3.0
29.0,15.0,3491,18/08/2009,Sunderland,Chelsea,1.0,3.0,A,1.0,0.0,H,S Bennett,4.0,20.0,3.0,9.0,14.0,10.0,1.0,14.0,2.0,2.0,0.0,0.0,6.5,4.0,1.53,EPLS200910,29.0,15.0
