HomeTeamId,AwayTeamId,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,homeTeamID,awayTeamID
11.0,16.0,5382,08/10/2018,Man United,Leicester,2.0,1.0,H,1.0,0.0,H,A Marriner,8.0,13.0,6.0,4.0,11.0,8.0,2.0,5.0,2.0,1.0,0.0,0.0,1.57,3.9,7.5,EPLS201819,11.0,16.0
21.0,35.0,5383,08/11/2018,Bournemouth,Cardiff,2.0,0.0,H,1.0,0.0,H,K Friend,12.0,10.0,4.0,1.0,11.0,9.0,7.0,4.0,1.0,1.0,0.0,0.0,1.9,3.6,4.5,EPLS201819,21.0,35.0
1.0,2.0,5384,08/11/2018,Fulham,Crystal Palace,0.0,2.0,A,0.0,1.0,A,M Dean,15.0,10.0,6.0,9.0,9.0,11.0,5.0,5.0,1.0,2.0,0.0,0.0,2.5,3.4,3.0,EPLS201819,1.0,2.0
42.0,15.0,5385,08/11/2018,Huddersfield,Chelsea,0.0,3.0,A,0.0,2.0,A,C Kavanagh,6.0,13.0,1.0,4.0,9.0,8.0,2.0,5.0,2.0,1.0,0.0,0.0,6.5,4.0,1.61,EPLS201819,42.0,15.0
14.0,6.0,5386,08/11/2018,Newcastle,Tottenham,1.0,2.0,A,1.0,2.0,A,M Atkinson,15.0,15.0,2.0,5.0,11.0,12.0,3.0,5.0,2.0,2.0,0.0,0.0,3.9,3.5,2.04,EPLS201819,14.0,6.0
33.0,7.0,5387,08/11/2018,Watford,Brighton,2.0,0.0,H,1.0,0.0,H,J Moss,19.0,6.0,5.0,0.0,10.0,16.0,8.0,2.0,2.0,2.0,0.0,0.0,2.37,3.2,3.4,EPLS201819,33.0,7.0
18.0,9.0,5388,08/11/2018,Wolves,Everton,2.0,2.0,D,1.0,1.0,D,C Pawson,11.0,6.0,4.0,5.0,8.0,7.0,3.0,6.0,0.0,1.0,0.0,1.0,2.37,3.3,3.3,EPLS201819,18.0,9.0
12.0,20.0,5389,08/12/2018,Arsenal,Man City,0.0,2.0,A,0.0,1.0,A,M Oliver,9.0,17.0,3.0,8.0,11.0,14.0,2.0,9.0,2.0,2.0,0.0,0.0,4.0,3.8,1.95,EPLS201819,12.0,20.0
3.0,4.0,5390,08/12/2018,Liverpool,West Ham,4.0,0.0,H,2.0,0.0,H,A Taylor,18.0,5.0,8.0,2.0,14.0,9.0,5.0,4.0,1.0,2.0,0.0,0.0,1.25,6.5,14.0,EPLS201819,3.0,4.0
13.0,19.0,5391,08/12/2018,Southampton,Burnley,0.0,0.0,D,0.0,0.0,D,G Scott,18.0,16.0,3.0,6.0,10.0,9.0,8.0,5.0,0.0,1.0,0.0,0.0,1.85,3.5,5.0,EPLS201819,13.0,19.0
35.0,14.0,5392,18/08/2018,Cardiff,Newcastle,0.0,0.0,D,0.0,0.0,D,C Pawson,12.0,12.0,1.0,6.0,14.0,16.0,5.0,5.0,2.0,2.0,0.0,1.0,3.25,3.1,2.54,EPLS201819,35.0,14.0
15.0,12.0,5393,18/08/2018,Chelsea,Arsenal,3.0,2.0,H,2.0,2.0,D,M Atkinson,24.0,15.0,11.0,6.0,12.0,9.0,5.0,1.0,0.0,2.0,0.0,0.0,1.8,4.0,4.5,EPLS201819,15.0,12.0
9.0,13.0,5394,18/08/2018,Everton,Southampton,2.0,1.0,H,2.0,0.0,H,L Mason,13.0,15.0,7.0,4.0,8.0,20.0,2.0,5.0,0.0,5.0,0.0,0.0,1.9,3.5,4.75,EPLS201819,9.0,13.0
16.0,18.0,5395,18/08/2018,Leicester,Wolves,2.0,0.0,H,2.0,0.0,H,M Dean,6.0,11.0,2.0,3.0,10.0,8.0,1.0,9.0,2.0,1.0,1.0,0.0,2.04,3.5,3.9,EPLS201819,16.0,18.0
