HomeTeamId,AwayTeamId,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,homeTeamID,awayTeamID
17.0,31.0,6142,13/08/2005,Aston Villa,Bolton,2.0,2.0,D,2.0,2.0,D,M Riley,3.0,13.0,2.0,6.0,14.0,16.0,7.0,8.0,0.0,2.0,0.0,0.0,2.3,3.25,3.0,EPLS200506,17.0,31.0
9.0,11.0,6143,13/08/2005,Everton,Man United,0.0,2.0,A,0.0,1.0,A,G Poll,10.0,12.0,5.0,5.0,15.0,14.0,8.0,6.0,3.0,1.0,0.0,0.0,5.0,3.4,1.72,EPLS200506,9.0,11.0
1.0,38.0,6144,13/08/2005,Fulham,Birmingham,0.0,0.0,D,0.0,0.0,D,R Styles,15.0,7.0,7.0,4.0,12.0,13.0,6.0,6.0,1.0,2.0,0.0,0.0,2.37,3.25,2.87,EPLS200506,1.0,38.0
20.0,5.0,6145,13/08/2005,Man City,West Brom,0.0,0.0,D,0.0,0.0,D,C Foy,15.0,13.0,8.0,3.0,13.0,11.0,3.0,6.0,2.0,3.0,0.0,0.0,1.72,3.4,5.0,EPLS200506,20.0,5.0
37.0,3.0,6146,13/08/2005,Middlesbrough,Liverpool,0.0,0.0,D,0.0,0.0,D,M Halsey,4.0,16.0,2.0,7.0,17.0,11.0,5.0,0.0,2.0,3.0,1.0,0.0,2.87,3.2,2.4,EPLS200506,37.0,3.0
39.0,6.0,6147,13/08/2005,Portsmouth,Tottenham,0.0,2.0,A,0.0,1.0,A,B Knight,11.0,11.0,7.0,6.0,13.0,23.0,7.0,2.0,0.0,2.0,0.0,0.0,2.75,3.2,2.5,EPLS200506,39.0,6.0
29.0,44.0,6148,13/08/2005,Sunderland,Charlton,1.0,3.0,A,1.0,1.0,D,H Webb,12.0,14.0,8.0,4.0,15.0,17.0,5.0,5.0,2.0,0.0,0.0,1.0,2.37,3.2,2.9,EPLS200506,29.0,44.0
4.0,25.0,6149,13/08/2005,West Ham,Blackburn,3.0,1.0,H,0.0,1.0,A,A Wiley,13.0,11.0,5.0,5.0,11.0,14.0,2.0,6.0,0.0,1.0,0.0,1.0,2.5,3.2,2.75,EPLS200506,4.0,25.0
12.0,14.0,6150,14/08/2005,Arsenal,Newcastle,2.0,0.0,H,0.0,0.0,D,S Bennett,15.0,2.0,12.0,1.0,15.0,17.0,8.0,3.0,0.0,1.0,0.0,1.0,1.4,4.2,8.0,EPLS200506,12.0,14.0
27.0,15.0,6151,14/08/2005,Wigan,Chelsea,0.0,1.0,A,0.0,0.0,D,M Clattenburg,12.0,20.0,5.0,9.0,14.0,7.0,2.0,6.0,1.0,0.0,0.0,0.0,10.0,4.5,1.33,EPLS200506,27.0,15.0
