HomeTeamId,AwayTeamId,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,homeTeamID,awayTeamID
3.0,21.0,3041,15/08/2025,Liverpool,Bournemouth,4.0,2.0,H,1.0,0.0,H,A Taylor,19.0,10.0,10.0,3.0,7.0,10.0,6.0,7.0,1.0,2.0,0.0,0.0,1.3,6.0,8.5,EPLS202526,3.0,21.0
17.0,14.0,3042,16/08/2025,Aston Villa,Newcastle,0.0,0.0,D,0.0,0.0,D,C Pawson,3.0,16.0,3.0,3.0,13.0,11.0,3.0,6.0,1.0,1.0,1.0,0.0,2.25,3.5,2.9,EPLS202526,17.0,14.0
7.0,1.0,3043,16/08/2025,Brighton,Fulham,1.0,1.0,D,0.0,0.0,D,S Barrott,10.0,7.0,4.0,2.0,16.0,15.0,4.0,3.0,3.0,3.0,0.0,0.0,1.91,3.6,4.0,EPLS202526,7.0,1.0
29.0,4.0,3044,16/08/2025,Sunderland,West Ham,3.0,0.0,H,0.0,0.0,D,R Jones,10.0,12.0,5.0,4.0,8.0,10.0,5.0,7.0,0.0,1.0,0.0,0.0,3.25,3.4,2.25,EPLS202526,29.0,4.0
6.0,19.0,3045,16/08/2025,Tottenham,Burnley,3.0,0.0,H,1.0,0.0,H,M Oliver,16.0,14.0,6.0,4.0,14.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,1.38,4.75,8.5,EPLS202526,6.0,19.0
18.0,20.0,3046,16/08/2025,Wolves,Man City,0.0,4.0,A,0.0,2.0,A,J Gillett,9.0,15.0,3.0,4.0,13.0,7.0,4.0,6.0,1.0,2.0,0.0,0.0,6.25,4.75,1.45,EPLS202526,18.0,20.0
15.0,2.0,3047,17/08/2025,Chelsea,Crystal Palace,0.0,0.0,D,0.0,0.0,D,D England,19.0,12.0,3.0,4.0,10.0,12.0,11.0,2.0,2.0,3.0,0.0,0.0,1.62,4.33,4.5,EPLS202526,15.0,2.0
23.0,22.0,3048,17/08/2025,Nott'm Forest,Brentford,3.0,1.0,H,3.0,0.0,H,P Bankes,11.0,10.0,5.0,3.0,7.0,15.0,5.0,5.0,1.0,2.0,0.0,0.0,2.2,3.3,3.5,EPLS202526,23.0,22.0
11.0,12.0,3049,17/08/2025,Man United,Arsenal,0.0,1.0,A,0.0,1.0,A,S Hooper,22.0,9.0,7.0,3.0,10.0,19.0,3.0,4.0,1.0,4.0,0.0,0.0,3.6,3.6,1.95,EPLS202526,11.0,12.0
10.0,9.0,3050,18/08/2025,Leeds,Everton,1.0,0.0,H,0.0,0.0,D,C Kavanagh,21.0,7.0,3.0,1.0,6.0,8.0,7.0,2.0,0.0,2.0,0.0,0.0,2.38,3.3,3.0,EPLS202526,10.0,9.0
4.0,15.0,3051,22/08/2025,West Ham,Chelsea,1.0,5.0,A,1.0,3.0,A,M Oliver,12.0,12.0,4.0,7.0,7.0,10.0,7.0,5.0,0.0,1.0,0.0,0.0,4.75,3.8,1.73,EPLS202526,4.0,15.0
20.0,6.0,3052,23/08/2025,Man City,Tottenham,0.0,2.0,A,0.0,2.0,A,P Bankes,10.0,12.0,4.0,5.0,7.0,12.0,7.0,2.0,1.0,4.0,0.0,0.0,1.48,4.5,6.25,EPLS202526,20.0,6.0
21.0,18.0,3053,23/08/2025,Bournemouth,Wolves,1.0,0.0,H,1.0,0.0,H,T Bramall,14.0,6.0,4.0,1.0,13.0,16.0,8.0,3.0,2.0,4.0,0.0,1.0,1.8,3.8,4.2,EPLS202526,21.0,18.0
22.0,17.0,3054,23/08/2025,Brentford,Aston Villa,1.0,0.0,H,1.0,0.0,H,T Harrington,9.0,17.0,2.0,2.0,11.0,9.0,2.0,9.0,1.0,2.0,0.0,0.0,3.1,3.6,2.2,EPLS202526,22.0,17.0
19.0,29.0,3055,23/08/2025,Burnley,Sunderland,2.0,0.0,H,0.0,0.0,D,M Salisbury,7.0,9.0,2.0,1.0,9.0,5.0,4.0,3.0,0.0,1.0,0.0,0.0,2.2,3.2,3.5,EPLS202526,19.0,29.0
12.0,10.0,3056,23/08/2025,Arsenal,Leeds,5.0,0.0,H,2.0,0.0,H,J Gillett,18.0,3.0,5.0,1.0,8.0,11.0,2.0,2.0,0.0,2.0,0.0,0.0,1.27,6.25,9.5,EPLS202526,12.0,10.0
2.0,23.0,3057,24/08/2025,Crystal Palace,Nott'm Forest,1.0,1.0,D,1.0,0.0,H,A Taylor,8.0,9.0,4.0,1.0,11.0,11.0,1.0,3.0,3.0,3.0,0.0,0.0,2.35,3.3,3.1,EPLS202526,2.0,23.0
9.0,7.0,3058,24/08/2025,Everton,Brighton,2.0,0.0,H,1.0,0.0,H,S Attwell,11.0,13.0,3.0,4.0,7.0,15.0,2.0,2.0,4.0,3.0,0.0,0.0,3.1,3.3,2.3,EPLS202526,9.0,7.0
1.0,11.0,3059,24/08/2025,Fulham,Man United,1.0,1.0,D,0.0,0.0,D,C Kavanagh,13.0,10.0,4.0,3.0,12.0,10.0,9.0,6.0,1.0,1.0,0.0,0.0,3.25,3.5,2.15,EPLS202526,1.0,11.0
14.0,3.0,3060,25/08/2025,Newcastle,Liverpool,2.0,3.0,A,0.0,1.0,A,S Hooper,10.0,5.0,3.0,4.0,17.0,15.0,7.0,1.0,2.0,3.0,1.0,0.0,3.25,3.8,2.05,EPLS202526,14.0,3.0
15.0,1.0,3061,30/08/2025,Chelsea,Fulham,2.0,0.0,H,1.0,0.0,H,R Jones,13.0,11.0,6.0,3.0,11.0,17.0,6.0,4.0,2.0,2.0,0.0,0.0,1.55,4.33,5.25,EPLS202526,15.0,1.0
11.0,19.0,3062,30/08/2025,Man United,Burnley,3.0,2.0,H,1.0,0.0,H,S Barrott,26.0,6.0,6.0,3.0,9.0,9.0,7.0,1.0,1.0,5.0,0.0,0.0,1.33,5.25,8.0,EPLS202526,11.0,19.0
29.0,22.0,3063,30/08/2025,Sunderland,Brentford,2.0,1.0,H,0.0,0.0,D,A Taylor,12.0,7.0,3.0,4.0,11.0,12.0,3.0,4.0,3.0,2.0,0.0,0.0,3.0,3.3,2.4,EPLS202526,29.0,22.0
6.0,21.0,3064,30/08/2025,Tottenham,Bournemouth,0.0,1.0,A,0.0,1.0,A,S Hooper,5.0,20.0,1.0,6.0,17.0,13.0,0.0,8.0,2.0,4.0,0.0,0.0,1.73,4.2,4.2,EPLS202526,6.0,21.0
18.0,9.0,3065,30/08/2025,Wolves,Everton,2.0,3.0,A,1.0,2.0,A,M Oliver,12.0,10.0,4.0,4.0,15.0,10.0,2.0,2.0,0.0,1.0,0.0,0.0,2.7,3.2,2.75,EPLS202526,18.0,9.0
10.0,14.0,3066,30/08/2025,Leeds,Newcastle,0.0,0.0,D,0.0,0.0,D,P Bankes,10.0,8.0,1.0,2.0,10.0,15.0,5.0,5.0,1.0,1.0,0.0,0.0,3.5,3.4,2.1,EPLS202526,10.0,14.0
7.0,20.0,3067,31/08/2025,Brighton,Man City,2.0,1.0,H,0.0,1.0,A,D England,12.0,12.0,7.0,3.0,16.0,14.0,3.0,2.0,2.0,2.0,0.0,0.0,3.8,3.9,1.9,EPLS202526,7.0,20.0
23.0,4.0,3068,31/08/2025,Nott'm Forest,West Ham,0.0,3.0,A,0.0,0.0,D,C Pawson,11.0,12.0,3.0,8.0,14.0,6.0,9.0,7.0,0.0,0.0,0.0,0.0,1.67,3.75,5.25,EPLS202526,23.0,4.0
3.0,12.0,3069,31/08/2025,Liverpool,Arsenal,1.0,0.0,H,0.0,0.0,D,C Kavanagh,9.0,11.0,3.0,1.0,7.0,10.0,3.0,8.0,2.0,2.0,0.0,0.0,2.2,3.5,3.2,EPLS202526,3.0,12.0
17.0,2.0,3070,31/08/2025,Aston Villa,Crystal Palace,0.0,3.0,A,0.0,1.0,A,S Attwell,13.0,6.0,4.0,4.0,7.0,14.0,10.0,1.0,2.0,3.0,0.0,0.0,1.85,3.7,4.0,EPLS202526,17.0,2.0
12.0,23.0,3071,13/09/2025,Arsenal,Nott'm Forest,3.0,0.0,H,1.0,0.0,H,D England,16.0,5.0,5.0,1.0,8.0,11.0,8.0,4.0,1.0,1.0,0.0,0.0,1.38,5.0,8.0,EPLS202526,12.0,23.0
21.0,7.0,3072,13/09/2025,Bournemouth,Brighton,2.0,1.0,H,1.0,0.0,H,P Bankes,13.0,6.0,5.0,2.0,16.0,10.0,4.0,4.0,4.0,4.0,0.0,0.0,2.35,3.5,2.9,EPLS202526,21.0,7.0
2.0,29.0,3073,13/09/2025,Crystal Palace,Sunderland,0.0,0.0,D,0.0,0.0,D,T Bramall,14.0,6.0,6.0,0.0,10.0,8.0,5.0,3.0,1.0,1.0,0.0,0.0,1.65,3.75,5.75,EPLS202526,2.0,29.0
9.0,17.0,3074,13/09/2025,Everton,Aston Villa,0.0,0.0,D,0.0,0.0,D,S Hooper,20.0,7.0,2.0,1.0,17.0,15.0,10.0,3.0,3.0,3.0,0.0,0.0,2.45,3.3,2.9,EPLS202526,9.0,17.0
1.0,10.0,3075,13/09/2025,Fulham,Leeds,1.0,0.0,H,0.0,0.0,D,C Pawson,5.0,10.0,3.0,3.0,20.0,15.0,3.0,3.0,1.0,2.0,0.0,0.0,1.91,3.5,4.0,EPLS202526,1.0,10.0
14.0,18.0,3076,13/09/2025,Newcastle,Wolves,1.0,0.0,H,1.0,0.0,H,C Kavanagh,16.0,8.0,4.0,3.0,10.0,17.0,10.0,4.0,1.0,4.0,0.0,0.0,1.42,4.75,7.0,EPLS202526,14.0,18.0
4.0,6.0,3077,13/09/2025,West Ham,Tottenham,0.0,3.0,A,0.0,0.0,D,J Gillett,7.0,14.0,4.0,5.0,8.0,7.0,2.0,13.0,0.0,1.0,1.0,0.0,3.4,3.6,2.1,EPLS202526,4.0,6.0
22.0,15.0,3078,13/09/2025,Brentford,Chelsea,2.0,2.0,D,1.0,0.0,H,S Attwell,7.0,16.0,4.0,6.0,13.0,9.0,5.0,6.0,3.0,2.0,0.0,0.0,4.5,3.9,1.73,EPLS202526,22.0,15.0
19.0,3.0,3079,14/09/2025,Burnley,Liverpool,0.0,1.0,A,0.0,0.0,D,M Oliver,3.0,27.0,0.0,4.0,9.0,9.0,1.0,13.0,0.0,2.0,0.0,0.0,8.0,5.5,1.33,EPLS202526,19.0,3.0
20.0,11.0,3080,14/09/2025,Man City,Man United,3.0,0.0,H,1.0,0.0,H,A Taylor,13.0,12.0,6.0,2.0,8.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,1.75,4.0,4.2,EPLS202526,20.0,11.0
3.0,9.0,3081,20/09/2025,Liverpool,Everton,2.0,1.0,H,2.0,0.0,H,D England,11.0,9.0,3.0,2.0,11.0,10.0,5.0,4.0,2.0,3.0,0.0,0.0,1.45,4.75,6.5,EPLS202526,3.0,9.0
7.0,6.0,3082,20/09/2025,Brighton,Tottenham,2.0,2.0,D,2.0,1.0,H,C Kavanagh,12.0,11.0,4.0,3.0,10.0,13.0,2.0,10.0,1.0,2.0,0.0,0.0,2.25,3.7,3.0,EPLS202526,7.0,6.0
19.0,23.0,3083,20/09/2025,Burnley,Nott'm Forest,1.0,1.0,D,1.0,1.0,D,T Bramall,12.0,17.0,5.0,8.0,12.0,11.0,4.0,5.0,1.0,1.0,0.0,0.0,3.4,3.3,2.2,EPLS202526,19.0,23.0
4.0,2.0,3084,20/09/2025,West Ham,Crystal Palace,1.0,2.0,A,0.0,1.0,A,T Harrington,8.0,18.0,3.0,3.0,15.0,5.0,8.0,8.0,3.0,3.0,0.0,0.0,2.88,3.5,2.38,EPLS202526,4.0,2.0
18.0,10.0,3085,20/09/2025,Wolves,Leeds,1.0,3.0,A,1.0,3.0,A,A Taylor,16.0,6.0,6.0,4.0,11.0,9.0,4.0,0.0,1.0,1.0,0.0,0.0,2.7,3.2,2.75,EPLS202526,18.0,10.0
11.0,15.0,3086,20/09/2025,Man United,Chelsea,2.0,1.0,H,2.0,0.0,H,P Bankes,11.0,5.0,4.0,1.0,13.0,14.0,5.0,5.0,0.0,5.0,1.0,1.0,2.6,3.8,2.45,EPLS202526,11.0,15.0
