HomeTeamId,AwayTeamId,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,homeTeamID,awayTeamID
12.0,17.0,6902,19/08/2006,Arsenal,Aston Villa,1.0,1.0,D,0.0,0.0,D,G Poll,19.0,5.0,11.0,3.0,10.0,19.0,18.0,1.0,1.0,2.0,0.0,0.0,1.28,4.5,13.0,EPLS200607,12.0,17.0
31.0,6.0,6903,19/08/2006,Bolton,Tottenham,2.0,0.0,H,2.0,0.0,H,P Dowd,8.0,9.0,6.0,6.0,19.0,22.0,6.0,3.0,0.0,1.0,0.0,0.0,2.62,3.2,2.6,EPLS200607,31.0,6.0
9.0,33.0,6904,19/08/2006,Everton,Watford,2.0,1.0,H,1.0,0.0,H,P Walton,6.0,12.0,2.0,8.0,12.0,13.0,0.0,6.0,2.0,2.0,0.0,0.0,1.66,3.4,5.5,EPLS200607,9.0,33.0
14.0,27.0,6905,19/08/2006,Newcastle,Wigan,2.0,1.0,H,1.0,0.0,H,M Atkinson,9.0,14.0,8.0,9.0,17.0,20.0,4.0,11.0,1.0,2.0,0.0,0.0,1.72,3.5,4.75,EPLS200607,14.0,27.0
39.0,25.0,6906,19/08/2006,Portsmouth,Blackburn,3.0,0.0,H,1.0,0.0,H,A Wiley,21.0,9.0,16.0,7.0,20.0,17.0,6.0,2.0,2.0,1.0,0.0,2.0,2.3,3.1,3.1,EPLS200607,39.0,25.0
40.0,37.0,6907,19/08/2006,Reading,Middlesbrough,3.0,2.0,H,2.0,2.0,D,M Halsey,14.0,7.0,9.0,5.0,8.0,15.0,8.0,2.0,1.0,3.0,0.0,0.0,2.5,3.1,2.8,EPLS200607,40.0,37.0
8.0,3.0,6908,19/08/2006,Sheffield United,Liverpool,1.0,1.0,D,0.0,0.0,D,R Styles,5.0,12.0,3.0,7.0,10.0,16.0,0.0,12.0,1.0,2.0,0.0,0.0,6.0,3.8,1.53,EPLS200607,8.0,3.0
4.0,44.0,6909,19/08/2006,West Ham,Charlton,3.0,1.0,H,0.0,1.0,A,H Webb,16.0,4.0,5.0,2.0,14.0,14.0,6.0,0.0,2.0,2.0,0.0,1.0,2.0,3.2,3.75,EPLS200607,4.0,44.0
15.0,20.0,6910,20/08/2006,Chelsea,Man City,3.0,0.0,H,2.0,0.0,H,S Bennett,10.0,5.0,4.0,2.0,7.0,15.0,5.0,2.0,1.0,3.0,0.0,1.0,1.22,5.5,13.0,EPLS200607,15.0,20.0
11.0,1.0,6911,20/08/2006,Man United,Fulham,5.0,1.0,H,4.0,1.0,H,A Marriner,15.0,12.0,7.0,8.0,14.0,20.0,5.0,2.0,1.0,1.0,0.0,0.0,1.22,5.5,13.0,EPLS200607,11.0,1.0
6.0,8.0,6912,22/08/2006,Tottenham,Sheffield United,2.0,0.0,H,2.0,0.0,H,P Walton,18.0,6.0,13.0,3.0,5.0,9.0,6.0,4.0,0.0,1.0,0.0,0.0,1.5,3.75,7.0,EPLS200607,6.0,8.0
33.0,4.0,6913,22/08/2006,Watford,West Ham,1.0,1.0,D,0.0,0.0,D,M Atkinson,11.0,8.0,4.0,4.0,12.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,2.87,3.2,2.4,EPLS200607,33.0,4.0
17.0,40.0,6914,23/08/2006,Aston Villa,Reading,2.0,1.0,H,1.0,1.0,D,L Mason,11.0,5.0,6.0,3.0,9.0,6.0,2.0,7.0,2.0,1.0,0.0,1.0,1.9,3.25,4.0,EPLS200607,17.0,40.0
25.0,9.0,6915,23/08/2006,Blackburn,Everton,1.0,1.0,D,0.0,0.0,D,U Rennie,10.0,10.0,5.0,4.0,22.0,20.0,5.0,3.0,4.0,3.0,0.0,0.0,2.3,3.1,3.1,EPLS200607,25.0,9.0
44.0,11.0,6916,23/08/2006,Charlton,Man United,0.0,3.0,A,0.0,0.0,D,C Foy,8.0,21.0,2.0,11.0,14.0,11.0,4.0,11.0,1.0,1.0,0.0,0.0,7.5,3.6,1.5,EPLS200607,44.0,11.0
1.0,31.0,6917,23/08/2006,Fulham,Bolton,1.0,1.0,D,0.0,0.0,D,A Wiley,11.0,4.0,4.0,1.0,9.0,16.0,1.0,6.0,0.0,2.0,0.0,0.0,2.4,3.2,2.87,EPLS200607,1.0,31.0
20.0,39.0,6918,23/08/2006,Man City,Portsmouth,0.0,0.0,D,0.0,0.0,D,D Gallagher,6.0,3.0,3.0,1.0,15.0,13.0,8.0,0.0,2.0,1.0,0.0,0.0,2.2,3.1,3.1,EPLS200607,20.0,39.0
37.0,15.0,6919,23/08/2006,Middlesbrough,Chelsea,2.0,1.0,H,0.0,1.0,A,H Webb,9.0,8.0,2.0,5.0,15.0,7.0,3.0,3.0,2.0,2.0,0.0,0.0,8.5,3.75,1.44,EPLS200607,37.0,15.0
44.0,31.0,6920,26/08/2006,Charlton,Bolton,2.0,0.0,H,0.0,0.0,D,M Dean,9.0,7.0,5.0,2.0,11.0,17.0,6.0,5.0,1.0,4.0,1.0,1.0,2.5,3.1,2.8,EPLS200607,44.0,31.0
